Epoch,Loss,Diversity,Seed,Generated,Seed text,Generated text,Full text
1,2.1124,0.3,20,60,o pleasure / pain lo,ve the plane is a way in the don’t that whole and the the an,o pleasure / pain love the plane is a way in the don’t that whole and the the an
1,2.1124,0.4,20,60,o pleasure / pain lo,ve the whore and and the who’s go be and you and the plane t,o pleasure / pain love the whore and and the who’s go be and you and the plane t
1,2.1124,0.5,20,60,o pleasure / pain lo,ve mand and has be or the plane the be and you menter and yo,o pleasure / pain love mand and has be or the plane the be and you menter and yo
1,2.1124,0.6,20,60,o pleasure / pain lo,ve the ego. that’s the thing there all the get and selss and,o pleasure / pain love the ego. that’s the thing there all the get and selss and
1,2.1124,0.7,20,60,o pleasure / pain lo,ve. you’re nestregun through of a mence abe… that’s the ham ,o pleasure / pain love. you’re nestregun through of a mence abe… that’s the ham 
2,1.636,0.3,20,60,ws your ind when we ,get of the pors. the way it all the to the body and the form,ws your ind when we get of the pors. the way it all the to the body and the form
2,1.636,0.4,20,60,ws your ind when we ,are all the pays to the form. they’re all the pays. he is al,ws your ind when we are all the pays to the form. they’re all the pays. he is al
2,1.636,0.5,20,60,ws your ind when we ,have go in to the whole the allurd of the sperical plane of ,ws your ind when we have go in to the whole the allurd of the sperical plane of 
2,1.636,0.6,20,60,ws your ind when we ,are of the place was you can’re “i’m have to the to the from,ws your ind when we are of the place was you can’re “i’m have to the to the from
2,1.636,0.7,20,60,ws your ind when we ,to heard everything the and the plece. that’s the userptanti,ws your ind when we to heard everything the and the plece. that’s the userptanti
3,1.4665,0.3,20,60,pitals. the reason t,he turn and they have the place that is and i have the way t,pitals. the reason the turn and they have the place that is and i have the way t
3,1.4665,0.4,20,60,pitals. the reason t,hat see is it fur thought the trip that har sure that all th,pitals. the reason that see is it fur thought the trip that har sure that all th
3,1.4665,0.5,20,60,pitals. the reason t,hat that that in in that place that’s hart a your thing that,pitals. the reason that that that in in that place that’s hart a your thing that
3,1.4665,0.6,20,60,pitals. the reason t,hat on the pare your harmad. because you fact the way it is ,pitals. the reason that on the pare your harmad. because you fact the way it is 
3,1.4665,0.7,20,60,pitals. the reason t,hings about the big adre to him making adound it is comes an,pitals. the reason things about the big adre to him making adound it is comes an
4,1.3717,0.3,20,60,ve that nothing is r,eally say the way it’s the divine mutt that is the same thin,ve that nothing is really say the way it’s the divine mutt that is the same thin
4,1.3717,0.4,20,60,ve that nothing is r,eally say: “i have the also you see the didn’t me the way it,ve that nothing is really say: “i have the also you see the didn’t me the way it
4,1.3717,0.5,20,60,ve that nothing is r,eally as the whole when you can see that or that place. ther,ve that nothing is really as the whole when you can see that or that place. ther
4,1.3717,0.6,20,60,ve that nothing is r,"eally the trought. the stream! growing, does the way for the","ve that nothing is really the trought. the stream! growing, does the way for the"
4,1.3717,0.7,20,60,ve that nothing is r,egom and be. what i was a more the cabinal traster is the ar,ve that nothing is regom and be. what i was a more the cabinal traster is the ar
5,1.3041,0.3,20,60,’d say to me: “oh! y,ou are not to the plane. it’s all the way in the think that ,’d say to me: “oh! you are not to the plane. it’s all the way in the think that 
5,1.3041,0.4,20,60,’d say to me: “oh! y,ou are the destre and the fulfillment. it’s all the guru the,’d say to me: “oh! you are the destre and the fulfillment. it’s all the guru the
5,1.3041,0.5,20,60,’d say to me: “oh! y,ou are not have all the tam the days ethir. a corstil every ,’d say to me: “oh! you are not have all the tam the days ethir. a corstil every 
5,1.3041,0.6,20,60,’d say to me: “oh! y,ou can’t have happens at the tam something. he was nothing i,’d say to me: “oh! you can’t have happens at the tam something. he was nothing i
5,1.3041,0.7,20,60,’d say to me: “oh! y,ou have are reling? sovieterpersaway in the more but a world,’d say to me: “oh! you have are reling? sovieterpersaway in the more but a world
6,1.2447,0.3,20,60,ay off. it would be ,a way is the rable to hear the same the body and you see the,ay off. it would be a way is the rable to hear the same the body and you see the
6,1.2447,0.4,20,60,ay off. it would be ,doing the exter and all of you find the way to do the lowe t,ay off. it would be doing the exter and all of you find the way to do the lowe t
6,1.2447,0.5,20,60,ay off. it would be ,doing that there is god the way it works in in the street as,ay off. it would be doing that there is god the way it works in in the street as
6,1.2447,0.6,20,60,ay off. it would be ,does it with the street the whole life of where i can hear i,ay off. it would be does it with the street the whole life of where i can hear i
6,1.2447,0.7,20,60,ay off. it would be ,been try to be good where there is the resides of a way i go,ay off. it would be been try to be good where there is the resides of a way i go
7,1.1894,0.3,20,60, yo-yo. i keep going, to that more that that there’s no fickent in the time? that, yo-yo. i keep going to that more that that there’s no fickent in the time? that
7,1.1894,0.4,20,60, yo-yo. i keep going, to know it that you can’t have that you are the body and th, yo-yo. i keep going to know it that you can’t have that you are the body and th
7,1.1894,0.5,20,60, yo-yo. i keep going, to do it of firlally in the lord of the first one of the st, yo-yo. i keep going to do it of firlally in the lord of the first one of the st
7,1.1894,0.6,20,60, yo-yo. i keep going, to the fact from and you see the guru is borth. very have a, yo-yo. i keep going to the fact from and you see the guru is borth. very have a
7,1.1894,0.7,20,60, yo-yo. i keep going," to the same inside, and the way out of diency oke? and what"," yo-yo. i keep going to the same inside, and the way out of diency oke? and what"
8,1.1403,0.3,20,60,behind every word an,d the first of the stil hing on the way is the ego that we h,behind every word and the first of the stil hing on the way is the ego that we h
8,1.1403,0.4,20,60,behind every word an,d the other there is a kest the stop is all of this to man w,behind every word and the other there is a kest the stop is all of this to man w
8,1.1403,0.5,20,60,behind every word an,d in on the trip is the tames in that they. you see: there i,behind every word and in on the trip is the tames in that they. you see: there i
8,1.1403,0.6,20,60,behind every word an,d and they from the kingson and this thought and become on m,behind every word and and they from the kingson and this thought and become on m
8,1.1403,0.7,20,60,behind every word an,d the fater to teach! you really before like there is sten w,behind every word and the fater to teach! you really before like there is sten w
9,1.0937,0.3,20,60,ched to your polariz,ed to the dand to be being to know the guru in the world of ,ched to your polarized to the dand to be being to know the guru in the world of 
9,1.0937,0.4,20,60,ched to your polariz,ed to be a reto you to be in the does and do you see you’re ,ched to your polarized to be a reto you to be in the does and do you see you’re 
9,1.0937,0.5,20,60,ched to your polariz,ed because on what you and they would feel what i know that ,ched to your polarized because on what you and they would feel what i know that 
9,1.0937,0.6,20,60,ched to your polariz,ed banfranal things and a voird and and and a child one of i,ched to your polarized banfranal things and a voird and and and a child one of i
