Epoch,Loss,Diversity,Seed,Generated,Seed text,Generated text,Full text
1,2.7087,0.3,20,60,iscontinuous with th,e the the in the we the yo the in in the the go it in the th,iscontinuous with the the the in the we the yo the in in the the go it in the th
1,2.7087,0.4,20,60,iscontinuous with th,e he the whe de the you ghe the el in the e you and the in t,iscontinuous with the he the whe de the you ghe the el in the e you and the in t
1,2.7087,0.5,20,60,iscontinuous with th,en in the fo sis whe a ans and te ind you an he to e ine thi,iscontinuous with then in the fo sis whe a ans and te ind you an he to e ine thi
1,2.7087,0.6,20,60,iscontinuous with th,e the you if the ef tou do pe in lo eal soure ind oo an ee t,iscontinuous with the the you if the ef tou do pe in lo eal soure ind oo an ee t
1,2.7087,0.7,20,60,iscontinuous with th,e e bas an io mour goo’ w ore iws the  iut you the go mes in,iscontinuous with the e bas an io mour goo’ w ore iws the  iut you the go mes in
2,2.2598,0.3,20,60,esn’t happen without, the sering the the sas the sere in the the sere ind the ser,esn’t happen without the sering the the sas the sere in the the sere ind the ser
2,2.2598,0.4,20,60,esn’t happen without, the the sere s an you the is all se sed call whe the he an ,esn’t happen without the the sere s an you the is all se sed call whe the he an 
2,2.2598,0.5,20,60,esn’t happen without," in the ronntithe soing in the see ind in the sering, tha te","esn’t happen without in the ronntithe soing in the see ind in the sering, tha te"
2,2.2598,0.6,20,60,esn’t happen without, iad is any the sast you the sacun at ats slalg on the the a,esn’t happen without iad is any the sast you the sacun at ats slalg on the the a
2,2.2598,0.7,20,60,esn’t happen without,he is de ant is the asy ura to at’s tha note and itg aing on,esn’t happen withouthe is de ant is the asy ura to at’s tha note and itg aing on
3,2.0948,0.3,20,60,ay land anywhere and, and you are the what ho ding the the wher it and the this t,ay land anywhere and and you are the what ho ding the the wher it and the this t
3,2.0948,0.4,20,60,ay land anywhere and, the dound the some the whe ard the gore in the sall the sal,ay land anywhere and the dound the some the whe ard the gore in the sall the sal
3,2.0948,0.5,20,60,ay land anywhere and, it in the comacis af late sith the ine you and af the thit’,ay land anywhere and it in the comacis af late sith the ine you and af the thit’
3,2.0948,0.6,20,60,ay land anywhere and, th the thes reas the perita that thits are sherur this you ,ay land anywhere and th the thes reas the perita that thits are sherur this you 
3,2.0948,0.7,20,60,ay land anywhere and," haw so the perstoy ur frees seper it and whe sery, you fret","ay land anywhere and haw so the perstoy ur frees seper it and whe sery, you fret"
4,1.9775,0.3,20,60,re am i? here!” then, the sas is the sall the some the sand the cans the doust of,re am i? here!” then the sas is the sall the some the sand the cans the doust of
4,1.9775,0.4,20,60,re am i? here!” then, the fore the gone the wath to he the have and be und the pa,re am i? here!” then the fore the gone the wath to he the have and be und the pa
4,1.9775,0.5,20,60,re am i? here!” then, and hat and the pust have whe seshen the pare is thire he i,re am i? here!” then and hat and the pust have whe seshen the pare is thire he i
4,1.9775,0.6,20,60,re am i? here!” then,e you and here in there as doming it asthand sea i persaall ,re am i? here!” thene you and here in there as doming it asthand sea i persaall 
4,1.9775,0.7,20,60,re am i? here!” then,e is ansight is alm chan’s that at some thay hat’s thm sing ,re am i? here!” thene is ansight is alm chan’s that at some thay hat’s thm sing 
5,1.8832,0.3,20,60,"ene, going shopping.", it’s all the gome the pure the wall the say the hame in the,"ene, going shopping. it’s all the gome the pure the wall the say the hame in the"
5,1.8832,0.4,20,60,"ene, going shopping.", and that’s all thit the the canse the wall thit do the with,"ene, going shopping. and that’s all thit the the canse the wall thit do the with"
5,1.8832,0.5,20,60,"ene, going shopping.", what it’s the canser tho hod that he being and whet it ham ,"ene, going shopping. what it’s the canser tho hod that he being and whet it ham "
5,1.8832,0.6,20,60,"ene, going shopping.", that’s is all the gore hith the usling io and and beathing ,"ene, going shopping. that’s is all the gore hith the usling io and and beathing "
5,1.8832,0.7,20,60,"ene, going shopping.", do and you is that you rnour and intsryis sime ate. theredo,"ene, going shopping. do and you is that you rnour and intsryis sime ate. theredo"
6,1.8045,0.3,20,60,tification he can po,re the pore the pare it all the wat the same the way the wig,tification he can pore the pore the pare it all the wat the same the way the wig
6,1.8045,0.4,20,60,tification he can po,re the esur beceres the is all the got to it and the was ham,tification he can pore the esur beceres the is all the got to it and the was ham
6,1.8045,0.5,20,60,tification he can po,re. and thes you do the dight and the ghin the prowst beay m,tification he can pore. and thes you do the dight and the ghin the prowst beay m
6,1.8045,0.6,20,60,tification he can po,re and the sist do has mand of the fisting his the is pursac,tification he can pore and the sist do has mand of the fisting his the is pursac
6,1.8045,0.7,20,60,tification he can po,re and the plose soment palsing to mo besulle and you’re sto,tification he can pore and the plose soment palsing to mo besulle and you’re sto
7,1.7373,0.3,20,60,relatedness of every, he sading the whought and it’s a lave that on the store the,relatedness of every he sading the whought and it’s a lave that on the store the
7,1.7373,0.4,20,60,relatedness of every, here and the says. what i manking at the caust is all the w,relatedness of every here and the says. what i manking at the caust is all the w
7,1.7373,0.5,20,60,relatedness of every, of the wist he came the plice the stife thing is the cause ,relatedness of every of the wist he came the plice the stife thing is the cause 
7,1.7373,0.6,20,60,relatedness of every,thing that dofin if you here same the side and the foom the ,relatedness of everything that dofin if you here same the side and the foom the 
7,1.7373,0.7,20,60,relatedness of every, he whoped the ustare. the sayen the there and you fore are ,relatedness of every he whoped the ustare. the sayen the there and you fore are 
8,1.68,0.3,20,60,"holding pattern, wai",d is the way i may whot is is are the way the same the enes ,"holding pattern, waid is the way i may whot is is are the way the same the enes "
8,1.68,0.4,20,60,"holding pattern, wai",d is the whous all the ines on the enough that mechreess is ,"holding pattern, waid is the whous all the ines on the enough that mechreess is "
8,1.68,0.5,20,60,"holding pattern, wai",l josn that paring and the store the wat is the understace s,"holding pattern, wail josn that paring and the store the wat is the understace s"
8,1.68,0.6,20,60,"holding pattern, wai",d be a soustifured of the oun you say had is the waw deer th,"holding pattern, waid be a soustifured of the oun you say had is the waw deer th"
8,1.68,0.7,20,60,"holding pattern, wai",king. the rewourd is the ustare momes il the enver mine plan,"holding pattern, waiking. the rewourd is the ustare momes il the enver mine plan"
9,1.6273,0.3,20,60,erienced it directly, of the trist that is all the way of the faring of the same ,erienced it directly of the trist that is all the way of the faring of the same 
9,1.6273,0.4,20,60,erienced it directly, in i was have in the same the place is the place the place.,erienced it directly in i was have in the same the place is the place the place.
9,1.6273,0.5,20,60,erienced it directly, that’s the fay one of the surf thing the chace in of it’s h,erienced it directly that’s the fay one of the surf thing the chace in of it’s h
9,1.6273,0.6,20,60,erienced it directly, are plane. i am matt of chatich one of carmeran that has sa,erienced it directly are plane. i am matt of chatich one of carmeran that has sa
9,1.6273,0.7,20,60,erienced it directly, of the math reat your of has. in the usiring of the coust. ,erienced it directly of the math reat your of has. in the usiring of the coust. 
10,1.58,0.3,20,60,do this. but you kno,w whothing to be and the stire an the same the place is do i,do this. but you know whothing to be and the stire an the same the place is do i
10,1.58,0.4,20,60,do this. but you kno,w it’s all the stime is the diventing and the simes on the f,do this. but you know it’s all the stime is the diventing and the simes on the f
10,1.58,0.5,20,60,do this. but you kno,w it in the parsent. you are the mether is a going the say t,do this. but you know it in the parsent. you are the mether is a going the say t
10,1.58,0.6,20,60,do this. but you kno,w at the place is the pessent of the digeen there sowhal it’,do this. but you know at the place is the pessent of the digeen there sowhal it’
10,1.58,0.7,20,60,do this. but you kno,w on i his process a dean i an a rully wall the simes: it’s ,do this. but you know on i his process a dean i an a rully wall the simes: it’s 
11,1.5367,0.3,20,60,m is in the world fo,r and the way it mach and the came the place is the place th,m is in the world for and the way it mach and the came the place is the place th
11,1.5367,0.4,20,60,m is in the world fo,r the don’t the the place you come to come and the dightes t,m is in the world for the don’t the the place you come to come and the dightes t
11,1.5367,0.5,20,60,m is in the world fo,r and seally ham and the got to the mont the mone that place,m is in the world for and seally ham and the got to the mont the mone that place
11,1.5367,0.6,20,60,m is in the world fo,r that have and that way’s the gut then the fersttarm then y,m is in the world for that have and that way’s the gut then the fersttarm then y
11,1.5367,0.7,20,60,m is in the world fo,r we’t really we cant to chmes that waing the there are the ,m is in the world for we’t really we cant to chmes that waing the there are the 
12,1.4966,0.3,20,60, what depths. what d,o you can the way to he into the way it all the guru in the , what depths. what do you can the way to he into the way it all the guru in the 
12,1.4966,0.4,20,60, what depths. what d,o and the bedond hare and he store man in the same the same , what depths. what do and the bedond hare and he store man in the same the same 
12,1.4966,0.5,20,60, what depths. what d,o betand have is a wat to get to the dearing of the fittle t, what depths. what do betand have is a wat to get to the dearing of the fittle t
12,1.4966,0.6,20,60, what depths. what d,eanes when you in lever and never the mara that i’s this loo, what depths. what deanes when you in lever and never the mara that i’s this loo
12,1.4966,0.7,20,60, what depths. what d,o you wellle there me. and you go wadting to be om all and y, what depths. what do you wellle there me. and you go wadting to be om all and y
13,1.4587,0.3,20,60,s really interesting, to the way it all the treet and of the fist of the same the,s really interesting to the way it all the treet and of the fist of the same the
13,1.4587,0.4,20,60,s really interesting, of the good. what he seep the guru on the flace the place t,s really interesting of the good. what he seep the guru on the flace the place t
13,1.4587,0.5,20,60,s really interesting, what you want to do it’s that the furite of the light manti,s really interesting what you want to do it’s that the furite of the light manti
13,1.4587,0.6,20,60,s really interesting, am that porce the wert you and incercedy. with the formento,s really interesting am that porce the wert you and incercedy. with the formento
13,1.4587,0.7,20,60,s really interesting, the hight to he always with one can’s like of a ligtel ony ,s really interesting the hight to he always with one can’s like of a ligtel ony 
14,1.4247,0.3,20,60,hang you” with yours,elf and and you can go become that he say “i’m and the thing,hang you” with yourself and and you can go become that he say “i’m and the thing
14,1.4247,0.4,20,60,hang you” with yours,elf in the same it all there is like a portions it all the t,hang you” with yourself in the same it all there is like a portions it all the t
14,1.4247,0.5,20,60,hang you” with yours,ell the way it going to be and realing and then you here it ,hang you” with yoursell the way it going to be and realing and then you here it 
14,1.4247,0.6,20,60,hang you” with yours,elf sure in the some they wollo say suffer and i can’t have ,hang you” with yourself sure in the some they wollo say suffer and i can’t have 
14,1.4247,0.7,20,60,hang you” with yours,elf all is got my the chischtracl. you can cen ene gring in ,hang you” with yourself all is got my the chischtracl. you can cen ene gring in 
15,1.3909,0.3,20,60,pring spontaneously ,from the first cormention mant enough in the way it all. the,pring spontaneously from the first cormention mant enough in the way it all. the
15,1.3909,0.4,20,60,pring spontaneously ,in the way it all you are to get that here and now when you ,pring spontaneously in the way it all you are to get that here and now when you 
15,1.3909,0.5,20,60,pring spontaneously ,of it. you can tat all that my and the think the phich out t,pring spontaneously of it. you can tat all that my and the think the phich out t
15,1.3909,0.6,20,60,pring spontaneously ,"are the way to the say that your onned the simeting, you are","pring spontaneously are the way to the say that your onned the simeting, you are"
15,1.3909,0.7,20,60,pring spontaneously ,for ding to love to me do sach bronts. it’s the place there ,pring spontaneously for ding to love to me do sach bronts. it’s the place there 
16,1.3594,0.3,20,60,d! to something that, you see the way it is. the there and the guru is the persen,d! to something that you see the way it is. the there and the guru is the persen
16,1.3594,0.4,20,60,d! to something that, there are and then the thought that whone mant you see the ,d! to something that there are and then the thought that whone mant you see the 
16,1.3594,0.5,20,60,d! to something that, the way it is in it. and you say “i can des it is to the ta,d! to something that the way it is in it. and you say “i can des it is to the ta
16,1.3594,0.6,20,60,d! to something that, it is the pars. because you can the love. and even the divi,d! to something that it is the pars. because you can the love. and even the divi
16,1.3594,0.7,20,60,d! to something that, is not. they can’t les i tive to be if your my hear of the ,d! to something that is not. they can’t les i tive to be if your my hear of the 
17,1.3281,0.3,20,60, go on the crisp tri,p. you can’t he into the fiett the the comes in the treat of, go on the crisp trip. you can’t he into the fiett the the comes in the treat of
17,1.3281,0.4,20,60, go on the crisp tri,p the fart of the voild on the same thing to be sure the gar, go on the crisp trip the fart of the voild on the same thing to be sure the gar
17,1.3281,0.5,20,60, go on the crisp tri,p the pross. it all the resilall on the tare of it. the way , go on the crisp trip the pross. it all the resilall on the tare of it. the way 
17,1.3281,0.6,20,60, go on the crisp tri,ng. in the whold the filll the thing in the pirst of the uni, go on the crisp tring. in the whold the filll the thing in the pirst of the uni
17,1.3281,0.7,20,60, go on the crisp tri,ng nother sadan’s “and that freatt and of surfing in the way, go on the crisp tring nother sadan’s “and that freatt and of surfing in the way
18,1.2984,0.3,20,60,ee the double ‘z’ wi,th the stries is the right now in the way it is. the whole t,ee the double ‘z’ with the stries is the right now in the way it is. the whole t
18,1.2984,0.4,20,60,ee the double ‘z’ wi,th the way is the treat or the place there’s no life you hea,ee the double ‘z’ with the way is the treat or the place there’s no life you hea
18,1.2984,0.5,20,60,ee the double ‘z’ wi,th the stire is the persical there is not and can see the is,ee the double ‘z’ with the stire is the persical there is not and can see the is
18,1.2984,0.6,20,60,ee the double ‘z’ wi,th the guru. i said: “you’ve to be in your inned is and resp,ee the double ‘z’ with the guru. i said: “you’ve to be in your inned is and resp
18,1.2984,0.7,20,60,ee the double ‘z’ wi,"th the whole thing to be word. kerous, love is can’t reeping","ee the double ‘z’ with the whole thing to be word. kerous, love is can’t reeping"
19,1.2708,0.3,20,60,e the light in every,thing in the don’s how the say a mony of the guru. the stace,e the light in everything in the don’s how the say a mony of the guru. the stace
19,1.2708,0.4,20,60,e the light in every,thing is me way hold it flace what you don’t know i am a doi,e the light in everything is me way hold it flace what you don’t know i am a doi
19,1.2708,0.5,20,60,e the light in every,body as the beatty out on the toon of says: “i mone myself l,e the light in everybody as the beatty out on the toon of says: “i mone myself l
19,1.2708,0.6,20,60,e the light in every,thing i mest i have the good out and pura the mind on that p,e the light in everything i mest i have the good out and pura the mind on that p
19,1.2708,0.7,20,60,e the light in every,"thing in your mind, and you sead the stires. beings gave mom","e the light in everything in your mind, and you sead the stires. beings gave mom"
20,1.2421,0.3,20,60, done that before. e,verything is the way it all. it’s a really dire. that’s the , done that before. everything is the way it all. it’s a really dire. that’s the 
20,1.2421,0.4,20,60, done that before. e,verything is doing to can fell on your away so your thoughts, done that before. everything is doing to can fell on your away so your thoughts
20,1.2421,0.5,20,60, done that before. e,verything is doseation. with a stay un and carm a donce that, done that before. everything is doseation. with a stay un and carm a donce that
20,1.2421,0.6,20,60, done that before. e,verything is mating and thes re man eats of the mustrelly is, done that before. everything is mating and thes re man eats of the mustrelly is
20,1.2421,0.7,20,60, done that before. e,verything that way a tanty anothing in to kee. and there wis, done that before. everything that way a tanty anothing in to kee. and there wis
21,1.2151,0.3,20,60,aight. you understan,ds to the universe. who is going to the way it is the things,aight. you understands to the universe. who is going to the way it is the things
21,1.2151,0.4,20,60,aight. you understan,d to your thoughts. it’s all offering and the guru is as thi,aight. you understand to your thoughts. it’s all offering and the guru is as thi
21,1.2151,0.5,20,60,aight. you understan,d to your thoughts to the tooked for the alsserget of that y,aight. you understand to your thoughts to the tooked for the alsserget of that y
21,1.2151,0.6,20,60,aight. you understan,d? i am the pirity of the post of form. it’s comered this mo,aight. you understand? i am the pirity of the post of form. it’s comered this mo
21,1.2151,0.7,20,60,aight. you understan,ds of the always is the way all the universe way in the firs,aight. you understands of the always is the way all the universe way in the firs
22,1.1883,0.3,20,60,ave a glass of water, and there is the divine mother and there was a pocess of th,ave a glass of water and there is the divine mother and there was a pocess of th
22,1.1883,0.4,20,60,ave a glass of water, to get to the veich the guru is the place is the good. at t,ave a glass of water to get to the veich the guru is the place is the good. at t
22,1.1883,0.5,20,60,ave a glass of water," and there are or as the way is parador, and then you are th","ave a glass of water and there are or as the way is parador, and then you are th"
22,1.1883,0.6,20,60,ave a glass of water, and there is everything is going for the more this mastor i,ave a glass of water and there is everything is going for the more this mastor i
22,1.1883,0.7,20,60,ave a glass of water," this thought say in this person, all of it always on i sill","ave a glass of water this thought say in this person, all of it always on i sill"
23,1.1632,0.3,20,60,wall saying: magic t,hes going to be a but here and now thing it is the way it is,wall saying: magic thes going to be a but here and now thing it is the way it is
23,1.1632,0.4,20,60,wall saying: magic t,hes great. the with as reating and to teare of me as vor our,wall saying: magic thes great. the with as reating and to teare of me as vor our
23,1.1632,0.5,20,60,wall saying: magic t,"hes going to be beyond the edestand it is intoreal on pore, ","wall saying: magic thes going to be beyond the edestand it is intoreal on pore, "
23,1.1632,0.6,20,60,wall saying: magic t,o go on to life into the way to get into the budihice and ca,wall saying: magic to go on to life into the way to get into the budihice and ca
23,1.1632,0.7,20,60,wall saying: magic t,his that’s the same of your falm. eever the bamy. as long as,wall saying: magic this that’s the same of your falm. eever the bamy. as long as
24,1.1371,0.3,20,60,rough being alone in, the still of that whene the thing that he does the doorn an,rough being alone in the still of that whene the thing that he does the doorn an
24,1.1371,0.4,20,60,rough being alone in, the way it was spick that whend they way are where was go g,rough being alone in the way it was spick that whend they way are where was go g
24,1.1371,0.5,20,60,rough being alone in, the stire in the don’t gearion in this souchted it at choss,rough being alone in the stire in the don’t gearion in this souchted it at choss
24,1.1371,0.6,20,60,rough being alone in, the universe becomes. it’s a really foer and every ligho in,rough being alone in the universe becomes. it’s a really foer and every ligho in
24,1.1371,0.7,20,60,rough being alone in,towalle. litele from those her soulding mant and her offfent,rough being alone intowalle. litele from those her soulding mant and her offfent
25,1.1126,0.3,20,60, we’re talking about, the fical plane. the place is not the street. you can have , we’re talking about the fical plane. the place is not the street. you can have 
25,1.1126,0.4,20,60, we’re talking about, it all same. the way it the toouse of the universe. you are, we’re talking about it all same. the way it the toouse of the universe. you are
25,1.1126,0.5,20,60, we’re talking about, to you can come to the way to get into the food. and you do, we’re talking about to you can come to the way to get into the food. and you do
25,1.1126,0.6,20,60, we’re talking about, the flome of a wayer and have a gee you and the guru. the w, we’re talking about the flome of a wayer and have a gee you and the guru. the w
25,1.1126,0.7,20,60, we’re talking about, is attancedences croming. so if you go to the sele. you’re , we’re talking about is attancedences croming. so if you go to the sele. you’re 
26,1.089,0.3,20,60, and responsibility., it’s a ratiogy pore. it’s all the stare of the pare of out , and responsibility. it’s a ratiogy pore. it’s all the stare of the pare of out 
26,1.089,0.4,20,60, and responsibility., what empent of east are as is a stace man life and he’s not, and responsibility. what empent of east are as is a stace man life and he’s not
26,1.089,0.5,20,60, and responsibility., it’s authing then you have a wentrest all the same moment o, and responsibility. it’s authing then you have a wentrest all the same moment o
26,1.089,0.6,20,60, and responsibility., not a watching that you can’t he don’t weard is the were is, and responsibility. not a watching that you can’t he don’t weard is the were is
26,1.089,0.7,20,60, and responsibility., really. that’s really and mush laget he see she fact part o, and responsibility. really. that’s really and mush laget he see she fact part o
27,1.0661,0.3,20,60,y excite you—some qu,"alities seace, the first one of the tomes of the place there","y excite you—some qualities seace, the first one of the tomes of the place there"
